2025-04-02 10:03:07.212 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:08.094 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:08.095 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:09.184 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:09.185 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:10.147 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:10.152 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:11.274 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:11.275 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:12.185 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:12.186 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:13.103 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:13.103 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:14.117 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:14.119 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:15.146 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:15.147 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:16.095 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:16.095 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:17.103 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:17.103 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:18.206 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:18.206 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:19.174 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:19.175 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:20.098 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:20.099 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:21.111 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:21.112 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:22.150 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:22.151 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:23.116 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:23.116 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:24.161 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:24.162 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:25.270 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:25.271 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:26.163 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:26.163 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:27.497 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
